id,resp_a_reward,resp_b_reward,winner_model_a,winner_model_b,winner_tie
4221854008,-1.4288,2.0573,0,1,0
4221900502,0.5592,-0.5985,1,0,0
4221941249,-1.8436,-2.2584,1,0,0
4221959654,-0.3324,-0.7507,1,0,0
4221973016,0.1634,-1.7975,1,0,0
4222028214,-0.5293,-0.5335,0,1,0
4222086737,1.2598,1.2165,0,0,1
4222174166,0.5041,-0.8066,1,0,0
4222267907,-0.1114,1.1624,0,1,0
4222362831,-1.1774,-0.8101,1,0,0
4222431561,0.2923,-1.6927,1,0,0
4222536975,-0.2479,-0.1557,0,1,0
4222545106,-0.5042,-0.4797,1,0,0
4222577204,-0.5922,-0.4867,0,1,0
4222740905,0.0995,0.14,1,0,0
4222785443,-0.7172,1.8561,0,1,0
4222806304,-0.0782,0.8984,0,1,0
4222815897,0.0817,0.0817,0,1,0
4222847658,-0.4302,-0.4672,1,0,0
4222896710,-0.117,-0.2849,0,1,0
4222953595,-0.3932,1.2814,0,1,0
4222961817,-0.412,-0.412,0,0,1
4223244199,-0.6585,-0.7018,1,0,0
4223301255,-1.3492,-1.257,0,1,0
4223340612,-1.8659,0.0674,0,1,0
4223345373,-0.8031,0.2463,0,1,0
4223387653,-0.7179,-0.7179,0,1,0
4223399997,2.5265,1.0311,1,0,0
4223410220,-0.963,-0.963,0,0,1
4223413602,-0.3352,0.3439,0,1,0
4223746574,1.0433,0.5549,1,0,0
4223763439,-0.5419,-0.6236,1,0,0
4223764049,0.5653,-1.0461,1,0,0
4223786561,-0.3352,0.473,0,1,0
4223913492,-0.6264,0.1878,0,0,1
4223951278,1.0573,-0.5943,1,0,0
4223990868,-1.6159,3.1341,0,1,0
4224066676,-0.8701,-0.544,0,1,0
4224115839,0.9047,-1.25,1,0,0
4224123809,-1.3799,-1.5503,0,0,1
4224330542,2.3436,3.5223,1,0,0
4224487971,-0.6103,-0.5691,1,0,0
4224488475,-0.4232,0.2936,0,1,0
4224532506,0.5327,0.6522,1,0,0
4224546335,-0.676,-0.2437,0,1,0
4224565288,-0.3582,-0.3582,1,0,0
4224707626,-1.162,-1.4888,0,0,1
4224728234,-0.5405,0.5045,0,1,0
4224797115,-0.6543,-0.7682,0,0,1
4224812135,1.0737,-1.2318,1,0,0
4224860363,-0.7947,-0.051,0,1,0
4224863280,-0.4777,-0.4777,0,1,0
4224929567,0.1414,-0.78,1,0,0
4225011878,-0.1159,-0.2626,1,0,0
4225023243,-0.3785,0.0925,0,1,0
4225093378,-0.0119,-0.3575,0,0,1
4225138094,-0.9064,-0.7772,0,0,1
4225163398,0.0583,0.0454,0,0,1
4225174423,0.2297,0.247,0,0,1
4225202894,-0.5866,-0.5999,0,0,1
4225209826,-0.7535,-0.7535,1,0,0
4225353156,-0.6941,-0.7165,1,0,0
4225429292,0.7343,0.6933,0,1,0
4225507700,-0.8087,-0.713,0,0,1
4225571345,0.3816,-0.9679,1,0,0
4225692102,-1.0251,-0.7996,0,0,1
4225694468,-1.5,-0.8149,0,1,0
4225794120,-1.2626,0.4762,0,1,0
4225867641,1.4567,-0.3352,1,0,0
4225915327,3.1187,-1.567,1,0,0
4226163107,2.1159,-1.5377,1,0,0
4226180259,-0.1068,-0.4707,1,0,0
4226256701,-0.9693,0.1899,0,1,0
4226335147,-0.3722,0.2149,0,1,0
4226462335,-0.8247,-0.9218,0,0,1
4226561711,-0.5377,-0.7737,1,0,0
4226791036,0.023,0.1688,0,0,1
4226795445,1.2654,1.5196,0,1,0
4226859051,-0.2465,-0.5698,1,0,0
4226920149,0.322,-0.4239,1,0,0
4226971091,0.8572,0.2889,1,0,0
4227027374,-0.3764,-0.2018,0,1,0
4227115802,2.3506,2.9288,0,1,0
4227221919,1.2116,-0.7689,1,0,0
4227253840,-0.4979,-0.5412,0,0,1
4227300365,-0.5419,1.0241,0,1,0
4227312268,1.3275,-0.8101,1,0,0
4227370967,1.2584,-0.2884,1,0,0
4227388144,-0.2919,-0.2919,1,0,0
4227422444,-0.2053,0.0608,0,0,1
4227477791,-0.5531,-0.0115,0,1,0
4227490224,0.1543,0.4042,0,1,0
4227491806,-1.1355,-1.2332,1,0,0
4227573282,-0.5,0.5136,0,1,0
4227608081,-0.5782,-0.5782,0,0,1
4227673279,-1.6131,1.2723,0,1,0
4227706654,1.5021,0.2547,1,0,0
4227725606,-1.5237,-2.1676,0,0,1
4228007665,-0.0985,-0.4064,0,0,1
4228017915,-0.3373,-0.3757,0,0,1
4228053482,0.2278,-0.2182,1,0,0
4228081378,-0.7095,0.9057,0,1,0
4228111213,-1.1955,-1.2179,1,0,0
4228138689,-0.7842,-0.9106,0,0,1
4228256019,0.4327,-1.5182,1,0,0
4228318696,-0.3017,-0.6397,1,0,0
4228353914,3.0936,2.2472,0,1,0
4228357419,-0.2689,0.2036,0,1,0
4228478004,1.2242,-0.2455,1,0,0
4228514324,0.2297,-0.6683,1,0,0
4228604298,1.5314,-1.0042,1,0,0
4228672218,-0.3003,1.2863,0,1,0
4228693234,-1.1201,2.9609,0,1,0
4228695445,-0.6047,-0.7004,0,0,1
4228846139,-0.0531,-0.0531,0,1,0
4228864129,-0.4281,-0.5677,1,0,0
4228881315,-0.875,-0.4358,0,1,0
4228958963,-1.8534,-0.2004,0,1,0
4228984049,1.3408,1.8645,0,1,0
4228989625,0.1686,-0.2619,1,0,0
4228994472,-0.4022,-0.4022,0,0,1
4229021901,-0.5056,0.1557,0,1,0
4229024373,-0.7004,-0.6948,0,0,1
4229026270,3.8715,-0.4211,1,0,0
4229029324,1.3296,0.1149,1,0,0
4229267872,-0.3401,1.7465,0,1,0
4229308244,-0.9735,-0.6851,0,1,0
4229384919,-0.4057,-0.4749,0,0,1
4229393037,-0.1927,2.6257,0,1,0
4229455167,-0.352,-0.4784,1,0,0
4229518975,-0.9176,-0.8568,0,0,1
4229565591,-0.3582,-0.5573,0,0,1
4229729456,-0.1117,-0.382,1,0,0
4229760992,-0.368,-0.993,1,0,0
4229891109,-0.2385,-0.8736,1,0,0
4229911856,-0.4658,-0.9036,1,0,0
4229941807,0.0377,-0.764,1,0,0
4230005877,-0.8394,1.669,0,1,0
4230038459,-0.9658,-0.8841,0,0,1
4230051950,-0.6152,-0.6418,0,0,1
4230143796,-0.0597,-0.2835,1,0,0
4230209886,-0.5999,-0.5978,0,0,1
4230246994,-0.7479,-0.7675,0,0,1
4230389296,-0.7325,-0.662,0,0,1
4230393646,0.0265,-0.0122,0,0,1
4230414336,-0.4665,-0.5335,0,0,1
4230441485,-1.1704,-0.0726,0,1,0
4230597810,-0.7612,-1.3073,1,0,0
4230621637,0.1561,-0.2095,1,0,0
4230632701,-0.8066,-0.7137,0,0,1
4230647450,-0.5398,-0.9804,1,0,0
4230691533,-0.9113,-0.0845,0,1,0
4230725414,0.9571,-2.4106,1,0,0
4230727371,0.0527,-0.6501,1,0,0
4230739518,-0.4372,-0.4525,0,0,1
4230845744,2.8715,-2.4832,1,0,0
4230892453,-0.5021,-0.7116,1,0,0
4230898138,-0.3841,0.128,0,1,0
4231074056,-0.3687,-0.5412,0,0,1
4231121122,-0.2315,-0.3547,1,0,0
4231143363,-0.0695,2.7737,0,1,0
4231263115,0.0314,0.0552,0,0,1
4231384754,-0.5985,-0.3128,1,0,0
4231390516,-0.8862,-0.1124,0,1,0
4231390741,-1.4288,-1.3184,0,1,0
4231468933,-1.5084,-1.6243,0,0,1
4231503949,-0.6837,-1.4204,0,0,1
4231575331,0.6641,0.5573,0,0,1
4231628683,0.1824,-0.4413,1,0,0
4231644896,3.2458,0.567,1,0,0
4231741198,-0.059,-1.5768,1,0,0
4231776347,-1.3422,-0.8973,0,0,1
4231835971,-1.0684,-0.0196,0,1,0
4231882408,0.1564,0.1564,0,0,1
4231995963,-0.9651,-1.0223,0,0,1
4232134892,0.4108,-0.3401,1,0,0
4232164637,0.3692,0.7188,0,0,1
4232184126,-0.3101,2.3911,0,1,0
4232255270,-0.3338,-0.2905,0,0,1
4232302965,-1.9246,1.1498,0,1,0
4232369605,-0.0608,-0.9902,1,0,0
4232369931,-1.4511,-1.6425,0,0,1
4232370083,-0.7947,0.0126,0,1,0
4232378807,-0.8966,-0.7521,0,0,1
4232402348,-1.3715,-1.088,0,1,0
4232425627,0.111,0.111,1,0,0
4232543179,0.1362,-0.8492,1,0,0
4232732728,-0.7975,-0.7975,0,1,0
4232786108,0.9881,-0.324,1,0,0
4232791784,-0.558,-0.544,0,0,1
4232797987,0.2414,-0.6187,1,0,0
4232938051,-1.1117,1.2542,0,1,0
4233296717,-0.5272,-0.5615,1,0,0
4233308113,1.1446,0.7154,1,0,0
4233383829,0.0929,1.2311,0,1,0
4233458392,-0.0496,0.1084,0,0,1
4233537623,-0.6041,-0.9735,1,0,0
4233581413,-0.5726,-0.6878,0,0,1
4233633398,1.1166,0.7598,1,0,0
4233715289,-0.6152,-0.6348,0,0,1
4233716294,0.9731,-0.287,1,0,0
4233722455,-0.8946,-1.007,0,0,1
4233774292,0.472,0.5325,0,0,1
4233902611,-1.2067,-2.1676,1,0,0
4234042907,0.0545,-0.4825,1,0,0
4234091756,1.3296,1.3254,0,0,1
4234169862,-0.2249,-0.8324,1,0,0
4234203318,0.3891,-1.0573,1,0,0
4234264844,-0.4784,-0.5957,0,0,1
4234452082,-0.412,-0.8219,0,0,1
4234476464,0.2329,0.309,1,0,0
4234523403,-0.6466,-0.5992,0,0,1
4234651840,-0.6613,-0.5824,0,1,0
4234701091,1.3352,1.3352,1,0,0
4234712904,-0.6257,-0.7807,0,0,1
4234765453,-0.2343,0.7882,0,1,0
4234795762,0.7509,0.6927,0,1,0
