id,resp_a_reward,resp_b_reward,winner
f0fcc8ecb0734d389dcd7c060dc954b2,-0.92,-0.89,0
f7181921e24f477f8e63c20bcace74f4,-0.84,0.89,1
cc5756a7e9f7434da7f99f87462f57f0,0.34,-1.13,0
6346b67ee9d6437e8fd905de7069f164,-1.06,-1.13,0
dbb03d0c84e34e83b1e64bebe4a47f4d,-0.84,-1.05,0
dccc38f71b9f4d50b5fd20ed316c5503,-1.05,-0.03,1
865c699ad9714adc82cd960e9e6f0d16,-0.84,-0.87,0
4a7f77b1dcd84eefbdb1c7a4c552e537,-0.8,-1.34,0
ad930e3a1f02430792697345951f7c13,-0.99,-1.03,0
9cb60d1d46be43c880008f39e0506b9e,-0.87,-0.87,2
24eef250597b41bb8cb1b478952d9f98,-0.76,-1.14,0
e67f8f4394064ed185dd1fb5c5a4c363,0.0,-0.23,1
025c5ea9b87f48b68e49cca7cdc8f9a9,-0.66,-0.61,2
24def94bd5914bdbb6f42f0b6e8bcd60,-0.41,-1.26,0
a08604c225cc475ba425059569b58921,-0.59,-0.9,0
f4c8b624448a40dc82757a8801093c1b,-0.86,-0.81,2
2e1dfa22fded4a1084f981125b582803,-0.75,-0.82,0
3a781d4e709d42499cccde750624e62f,-0.28,-0.56,0
c6a0db7eab85467fa535034ccf6ba65a,-0.21,-1.21,0
a81e2421890049a1ad15c68a4640ab77,-0.73,-0.78,0
fbfc9a49b7474ad99393a7e90ee51a9d,-0.86,-0.48,1
6e66ab63589e4d8583ac09d559a386a6,-0.69,-0.79,0
b065cc36b5d747b58e4719096a4d1cb6,-0.51,-0.8,2
de8af6c731724d97b52890962929ec0a,-0.75,-0.61,1
0e85bd8bc28c4e89a254a2558f503186,-0.64,-0.77,2
514ab71269f24115a67a18df7ccbfb0e,-0.67,-0.66,0
a498907378d241418223aec68f8c45ab,-0.89,-0.89,2
405f42f044e3497fa3b0d8541670a900,-0.93,-0.93,2
e302f19b24c745b998c73aee12c8defe,-0.89,-0.89,2
c1314f12e4664ab989f936d908f954d5,-0.56,-0.66,0
b79dd4891cfe4a83b796072da9c55ec3,-0.59,-0.67,0
669a4cdeb7094f229929fb3848d22f50,-0.8,-0.72,0
17d8c4ee0862404ab0bba4c5e12e9bf6,-0.69,-0.8,0
a382ec8406b648638f4c0465e36606ab,-0.18,-0.5,0
e1ab84cfeca345018dd8833944932036,-0.73,-0.73,0
db917c322acd401799fc8a8272a3b809,-0.07,-1.38,0
123cb33c07634b2c81b2f6c7f3770034,-0.27,-1.11,1
30b74b66476e407aad2dbccc94efb92d,-0.58,-0.66,0
602d6d03a6764c5288b4f7fee5d04987,-0.54,-1.15,0
1252d718616840c483d0551b171a95d3,-0.72,-0.82,0
3634f4f74599429ca7709c140a11fc65,-0.71,-0.87,1
91c4637167594d1d8194d3bdadfe6b22,-0.67,-0.94,0
da827cc7e202468b89ae32c5d5cce078,-0.62,-0.59,2
2e5410c942d94d8086d89386db7a8c59,-0.84,-0.45,1
853ded4bcff54c9895c89718d3a9bbe7,-0.73,-0.73,1
5adc6da368cb488ebb974c15a7e7f8df,-0.71,-0.66,1
b5122a2dd99e4bdab5bd2430ae65f210,-0.48,-0.39,0
785d054d3768472bb77df6a16a5b0546,-0.86,-0.86,0
b9ff01ee03724e02a2ab9dcd56322647,-0.86,-0.86,0
1ad4a5856dbe4316966fb485140d4475,-0.88,-0.84,1
ef8f5c79a9324af1ad306f831d3d69a8,-0.8,-0.85,0
cd052c0bcc124ffc993cdab4c43b20f2,-0.77,-0.77,1
4125fea3a0fd405eacb7fa01f0666bdb,-0.17,-0.96,2
25eded99a2384871aa6e02cdffee7bc6,-0.1,-0.77,0
a7d5cc66b3e34372bce80e7da2498ad0,-0.16,-0.28,1
acf562dfe8d54412b9864ab5c902de35,-1.07,-0.96,2
8dbd0b8f7c244abaa414273182b3de5a,-1.3,-0.9,1
711f8f7a2cc346708cab60f2abf6161e,-1.03,-0.66,1
979ff87a5b064ac19ec66e2e5ac492fe,-0.76,-0.7,0
221632fc9d884f13807e3acc08051d50,-0.29,-0.62,0
310317e13d9d46a1bde56ac274b54e11,-0.51,-0.79,0
24604fa87f0d4ebd95c290002370b7da,0.15,-0.33,0
c0d1b1210dfc4c63b9f0ef27aa7c827e,-0.16,-0.73,0
f045c097161042aba5ab435111e9a697,-0.88,-0.85,2
eca1ab85fe0d450d9ee983a9489e7f47,-0.82,-0.84,2
b781f254f6a248ab879c22453e7cf202,-0.82,-0.84,2
ab66f85f47cf45f6adea49617076d9e1,-0.41,-0.46,2
765775e1c48a4d63a237791b162928d7,-0.95,-0.87,2
2ae6517d79e4409e9a73dbbad02ce985,-1.41,-0.16,1
ca4758a3d6124a4ba0f95fc6a18b4810,-0.41,-0.37,0
a0697334ba9e45a88a2add76098a28ba,-1.05,-1.05,1
89b3bc5f7cf049898776388245188bc8,-0.26,-0.26,1
a7877f255c70462db5901e5233b1ba59,-0.86,-0.65,1
9a1eec610e7c4b288a766afc65979fe5,-0.71,-0.81,0
da27b35237834cc899ec0ac399620d90,-0.74,-0.7,2
d6dae5e1775c4b1486b386e5dc817d9a,-0.61,-1.01,0
