id,resp_a_reward,resp_b_reward,winner_model_a,winner_model_b,winner_tie
30192,3.0,-0.07,1,0,0
53567,-0.28,2.59,0,1,0
65089,0.07,0.97,0,0,1
96401,0.77,-0.69,1,0,0
198779,0.56,1.59,0,1,0
292873,0.47,2.09,0,1,0
313413,1.21,-1.23,1,0,0
370945,-1.27,-0.45,0,1,0
441448,-0.41,-0.41,0,1,0
481524,-0.66,1.94,0,1,0
497862,-0.44,0.95,0,1,0
587904,0.55,-0.38,1,0,0
604575,2.03,1.45,0,1,0
738614,-0.19,-1.52,1,0,0
862324,-0.93,-0.89,0,0,1
863398,-0.27,0.98,0,1,0
887722,-0.72,-0.78,1,0,0
914644,-1.23,0.43,0,1,0
933555,-0.77,-0.66,0,0,1
1120158,0.05,2.06,0,1,0
1256092,-0.73,-0.77,0,0,1
1404102,-1.45,0.1,0,1,0
1440765,-0.85,-0.82,0,0,1
1458108,-0.82,-0.78,0,0,1
1491225,-1.39,-1.35,0,0,1
1594211,-1.25,-1.37,0,0,1
1639617,0.59,0.66,0,0,1
1744093,0.83,-0.66,1,0,0
1813737,0.42,1.96,0,1,0
1827787,-0.96,-0.96,0,0,1
1842252,1.75,0.51,1,0,0
2051408,-0.52,-0.61,0,0,1
2154496,0.02,1.05,0,1,0
2298796,1.77,0.69,1,0,0
2388511,3.09,2.41,1,0,0
2802516,-0.7,0.08,0,1,0
2857714,0.4,-0.66,1,0,0
2912862,0.86,0.52,0,1,0
2944182,-1.32,-1.28,0,0,1
3254113,3.11,3.11,0,0,1
3258431,1.02,-0.43,1,0,0
3259481,-0.86,-0.74,0,0,1
3373963,1.61,0.1,1,0,0
3445782,-1.39,0.95,0,1,0
3475655,-0.93,-0.72,0,1,0
3499263,2.08,-0.23,1,0,0
3503031,-0.45,-0.09,0,1,0
3504181,0.26,0.26,0,0,1
3519254,-1.3,-1.27,0,0,1
3567106,-1.07,1.2,0,1,0
3578663,-0.72,-0.74,0,0,1
3590999,-0.54,-0.54,0,0,1
3622781,1.11,-0.53,1,0,0
3643104,-0.72,-0.75,0,0,1
3710170,-0.62,-0.52,0,0,1
3760933,2.5,0.0,1,0,0
3773792,-0.78,-0.8,0,0,1
3777134,-0.85,-0.82,0,0,1
3994811,-0.89,-0.9,0,0,1
3995635,2.05,2.14,0,0,1
4186011,-0.77,0.42,0,1,0
4349090,1.51,-0.99,1,0,0
4356730,2.88,1.02,1,0,0
4486480,0.7,0.92,0,0,1
4510489,0.36,0.75,0,0,1
4587071,0.27,0.57,0,1,0
4615863,-1.34,-0.01,0,1,0
4683272,-1.56,-1.67,0,0,1
4790276,-0.61,-0.56,0,0,1
4961077,-0.54,-0.85,1,0,0
4970917,2.66,0.59,1,0,0
4990514,-1.47,-1.45,0,1,0
5061737,-0.04,-1.17,0,0,1
