id,resp_a_reward,resp_b_reward,winner_model_a,winner_model_b,winner_tie
4222086737,1.2598,1.2165,0,0,1
4222961817,-0.412,-0.412,0,0,1
4223410220,-0.963,-0.963,0,0,1
4223913492,-0.6264,0.1878,0,0,1
4224123809,-1.3799,-1.5503,0,0,1
4224707626,-1.162,-1.4888,0,0,1
4224797115,-0.6543,-0.7682,0,0,1
4225093378,-0.0119,-0.3575,0,0,1
4225138094,-0.9064,-0.7772,0,0,1
4225163398,0.0583,0.0454,0,0,1
4225174423,0.2297,0.247,0,0,1
4225202894,-0.5866,-0.5999,0,0,1
4225507700,-0.8087,-0.713,0,0,1
4225692102,-1.0251,-0.7996,0,0,1
4226462335,-0.8247,-0.9218,0,0,1
4226791036,0.023,0.1688,0,0,1
4227253840,-0.4979,-0.5412,0,0,1
4227422444,-0.2053,0.0608,0,0,1
4227608081,-0.5782,-0.5782,0,0,1
4227725606,-1.5237,-2.1676,0,0,1
4228007665,-0.0985,-0.4064,0,0,1
4228017915,-0.3373,-0.3757,0,0,1
4228138689,-0.7842,-0.9106,0,0,1
4228695445,-0.6047,-0.7004,0,0,1
4228994472,-0.4022,-0.4022,0,0,1
4229024373,-0.7004,-0.6948,0,0,1
4229384919,-0.4057,-0.4749,0,0,1
4229518975,-0.9176,-0.8568,0,0,1
4229565591,-0.3582,-0.5573,0,0,1
4230038459,-0.9658,-0.8841,0,0,1
4230051950,-0.6152,-0.6418,0,0,1
4230209886,-0.5999,-0.5978,0,0,1
4230246994,-0.7479,-0.7675,0,0,1
4230389296,-0.7325,-0.662,0,0,1
4230393646,0.0265,-0.0122,0,0,1
4230414336,-0.4665,-0.5335,0,0,1
4230632701,-0.8066,-0.7137,0,0,1
4230739518,-0.4372,-0.4525,0,0,1
4231074056,-0.3687,-0.5412,0,0,1
4231263115,0.0314,0.0552,0,0,1
4231468933,-1.5084,-1.6243,0,0,1
4231503949,-0.6837,-1.4204,0,0,1
4231575331,0.6641,0.5573,0,0,1
4231776347,-1.3422,-0.8973,0,0,1
4231882408,0.1564,0.1564,0,0,1
4231995963,-0.9651,-1.0223,0,0,1
4232164637,0.3692,0.7188,0,0,1
4232255270,-0.3338,-0.2905,0,0,1
4232369931,-1.4511,-1.6425,0,0,1
4232378807,-0.8966,-0.7521,0,0,1
4232791784,-0.558,-0.544,0,0,1
4233458392,-0.0496,0.1084,0,0,1
4233581413,-0.5726,-0.6878,0,0,1
4233715289,-0.6152,-0.6348,0,0,1
4233722455,-0.8946,-1.007,0,0,1
4233774292,0.472,0.5325,0,0,1
4234091756,1.3296,1.3254,0,0,1
4234264844,-0.4784,-0.5957,0,0,1
4234452082,-0.412,-0.8219,0,0,1
4234523403,-0.6466,-0.5992,0,0,1
4234712904,-0.6257,-0.7807,0,0,1
4235217465,1.4497,1.0859,0,0,1
4235349088,0.169,0.0447,0,0,1
4235648171,-0.6285,-0.6599,0,0,1
4235738750,-0.6564,-0.7214,0,0,1
4236051016,-0.0049,0.0395,0,0,1
4236306493,-0.537,-0.5496,0,0,1
4236381781,-0.2388,-0.3911,0,0,1
4236412174,-0.287,-0.236,0,0,1
4236414699,-1.1271,-1.088,0,0,1
4236571663,-1.0754,-0.8422,0,0,1
4237182354,-0.7654,-0.8554,0,0,1
4237302973,-0.3485,-0.2388,0,0,1
4237448181,-0.1889,-0.6913,0,0,1
4237758938,0.6901,0.6728,0,0,1
4238511728,-0.611,-0.537,0,0,1
4238639849,-0.7521,-0.8219,0,0,1
4238879331,-1.8589,-1.8575,0,0,1
4238884365,-0.3205,-0.3122,0,0,1
4238996187,-0.5517,-0.5649,0,0,1
4239286406,-0.8373,-0.5635,0,0,1
4239396447,-0.7025,-0.6809,0,0,1
4239786468,-1.2444,-1.4846,0,0,1
4239797148,-0.2249,-0.4134,0,0,1
4240526944,-0.3743,-0.5908,0,0,1
4240586774,-0.6955,-0.6941,0,0,1
4240757348,-0.2737,-0.4246,0,0,1
4240761128,-0.8149,-0.7996,0,0,1
4240801841,-0.4309,-1.007,0,0,1
4240824080,1.0541,1.1198,0,0,1
4240832884,1.1145,1.1446,0,0,1
4241066553,-0.8233,0.2076,0,0,1
4241218476,-0.7884,-1.0838,0,0,1
4241435251,-0.5182,-0.4693,0,0,1
4241508462,-0.4141,-0.3722,0,0,1
4241628733,-0.3589,-0.4176,0,0,1
4241948896,-0.4113,-0.4881,0,0,1
4242010621,-1.1634,-0.7696,0,0,1
4242574699,-0.2064,-0.1976,0,0,1
4243595775,-0.4434,-0.4434,0,0,1
4243652941,-0.2577,-0.2954,0,0,1
4243770332,-0.7654,-0.6236,0,0,1
4244431598,-0.845,-0.7842,0,0,1
4245482056,-0.4455,-0.5265,0,0,1
4245576702,-1.2528,-1.0391,0,0,1
4246029635,-1.3338,1.0562,0,0,1
4246104267,-0.3303,-0.0161,0,0,1
4246145958,0.3358,0.1831,0,0,1
4246239046,0.1735,0.0335,0,0,1
4246304840,-1.2947,-1.1061,0,0,1
4246753507,-0.0583,-0.0583,0,0,1
4246910794,-0.8387,-0.6669,0,0,1
4247020731,-0.0583,-0.184,0,0,1
4247060309,-0.4707,-0.6529,0,0,1
4247203258,-0.352,-0.1868,0,0,1
4247287548,0.7425,0.7425,0,0,1
4247868851,-0.1624,-0.3191,0,0,1
4247996950,-0.4839,-0.3966,0,0,1
4248128259,-0.7723,-0.7723,0,0,1
4248420073,-0.727,-0.7598,0,0,1
4248667785,-0.1369,-0.1149,0,0,1
4249381288,-0.2982,-0.7039,0,0,1
4249591092,-0.7374,-0.7346,0,0,1
4249865171,-1.4707,-0.7619,0,0,1
4249877240,-0.7772,-0.5021,0,0,1
4250303195,-0.7507,-0.7507,0,0,1
4250515153,-1.338,-1.6173,0,0,1
4250789938,-0.2891,-0.3066,0,0,1
4250986046,1.4497,1.2207,0,0,1
4251266470,0.4527,0.1459,0,0,1
4251575107,-0.6075,-0.5028,0,0,1
4251917489,0.128,0.2634,0,0,1
4252192977,-0.6837,-0.7095,0,0,1
4252239775,-0.4637,-0.4944,0,0,1
4253030125,-0.764,-0.5203,0,0,1
4253105766,-0.3589,-0.213,0,0,1
4253175751,-0.5642,-0.6348,0,0,1
4253458875,-1.0196,-0.9609,0,0,1
4253743033,-1.095,-1.6913,0,0,1
4254163601,-0.6711,-0.6599,0,0,1
4254556595,-0.3101,-0.3387,0,0,1
4254627312,-0.5098,-0.294,0,0,1
4254719559,-0.6522,-0.4909,0,0,1
4255202752,-0.5817,-0.6278,0,0,1
4255396969,-0.5831,-0.9944,0,0,1
4255946083,-2.3324,-2.3464,0,0,1
4256163050,-0.611,-1.0405,0,0,1
4256233163,1.368,1.5964,0,0,1
4256267847,0.6842,0.6842,0,0,1
4256363743,-0.7472,-0.7472,0,0,1
4256422362,-0.5161,-0.5852,0,0,1
4256678143,0.6587,0.8565,0,0,1
4257730913,-1.7221,-1.5293,0,0,1
4258041814,1.0908,1.1784,0,0,1
4258096767,0.6833,0.1666,0,0,1
4258115708,0.8666,0.7671,0,0,1
4258428039,-0.4036,-0.389,0,0,1
4258843037,-0.1823,-0.0314,0,0,1
4258859881,-0.2689,-0.1554,0,0,1
4259207233,-0.0503,-0.0667,0,0,1
4259979711,-0.4686,0.1437,0,0,1
4260076805,0.9427,0.9427,0,0,1
4260108353,2.1103,1.3247,0,0,1
